종로,박진,새누리당,"청운효자동 사직동 삼청동 부암동 평창동 무악동 교남동 가회동 종로1동 종로2동 종로3동 종로4동 종로5동 종로6동 이화동 혜화동 명륜3가동 창신1동 창신2동 창신3동 숭인1동 숭인2동"
중구,나경원,새누리당,"소공동 회현동 명동 필동 장충동 광희동 을지로동 신당1동 신당2동 신당3동 신당4동 신당5동 신당6동 확학동 중림동"
용산,진영,새누리당,"후암동 남영동 용산2가동 한강로동 서빙고동 청파동 원효로1동 원효로2동 효창동 용문동 이촌1동 이촌2동 이태원1동 이태원2동 한남동 보광동"
성동갑,진수희,새누리당,"응봉동 금호1가동 금호2·3가동 금호4가동 옥수동 성수1가제1동 성수1가제2동 성수2가제1동 성수2가제3동"
성동을,김동성,새누리당,"왕십리도선동 왕십리제2동 마장동 사근동 행당제1동 행당제2동 송정동 용답동"
광진갑,권택기,새누리당,"중곡제1동 중곡제2동 중곡제3동 중곡제4동 능동 구의제2동 광장동 군자동"
광진을,추미애,"민주통합당 민주통합당","구의제1동 구의제3동 자양제1동 자양제2동 자양제3동 자양제4동 화양동"
동대문갑,장광근,새누리당,"용신동 제기동 청량리동 회기동 휘경제1동 휘경제2동 이문제1동 이문제2동"
동대문을,홍준표,새누리당,"전농제1동 전농제2동 답십리제1동 답십리제2동 장안제1동 장안제2동"
중랑갑,유정현,새누리당,"면목본동 면목제2동 면목제3·8동 면목제4동 면목제5동 면목제7동 상봉제2동 망우제3동"
중랑을,진성호,새누리당,"상봉제1동 중화제1동 중화제2동 묵제1동 묵제2동 망우본동 신내제1동 신내제2동"
성북갑,정태근,"새누리당 무소속","성북동 삼선동 동선동 돈암제2동 안암동 보문동 정릉제1동 정릉제2동 정릉제3동 정릉제4동 길음제1동"
성북을,김효재,새누리당,"돈암제1동 길음제2동 종암동 월곡제1동 월곡제2동 장위제1동 장위제2동 장위제3동 석관동"
강북갑,정양석,새누리당,"번제1동 번제2동 수유제1동 수유제2동 수유제3동 우이동 인수동"
강북을,최규식,"민주통합당 민주통합당","삼양동 미아동 송중동 송천동 삼각산동 번제3동"
도봉갑,신지호,새누리당,"쌍문1동 쌍문3동 창1동 창2동 창3동 창4동 창5동"
도봉을,김선동,새누리당,"쌍문2동 쌍문4동 방학1동 방학2동 방학3동 도봉1동 도봉2동"
노원갑,현경병,새누리당,"월계1동 월계2동 월계3동 공릉1동 공릉2동"
노원을,권영진,새누리당,"하계1동 하계2동 중계본동 중계1동 중계2·3동 중계4동 상계6·7동"
노원병,홍정욱,새누리당,"상계1동 상계2동 상계3·4동 상계5동 상계8동 상계9동 상계10동"
은평갑,이미경,"민주통합당 민주통합당","녹번동 응암제1동 응암제2동 응암제3동 신사제1동 신사제2동 증산동 수색동"
은평을,"문국현 이재오","창조한국당 새누리당","불광제1동 불광제2동 갈현제1동 갈현제2동 구산동 대조동 역촌동 진관동"
서대문갑,이성현,새누리당,"충현동 천연동 북아현동 신촌동 연희동 홍제제1동 홍제제2동"
서대문을,정두언,새누리당,"홍제제3동 홍은제1동 홍은제2동 남가좌제1동 남가좌제2동 북가좌제1동 북가좌제2동"
마포갑,강승규,새누리당,"공덕동 아현동 도화동 용강동 대흥동 염리동 신수동"
마포을,강용석,"새누리당 무소속","서강동 서교동 합정동 망원1동 망원2동 연남동 성산1동 성산2동 상암동"
양천갑,원희룡,새누리당,"목1동 목2동 목3동 목4동 목5동 신정1동 신정2동 신정6동 신정7동"
양천을,김용태,새누리당,"신월1동 신월2동 신월3동 신월4동 신월5동 신월6동 신월7동 신정3동 신정4동"
강서갑,구상찬,새누리당,"등촌제2동 화곡본동 화곡제1동 화곡제2동 화곡제3동 화곡제4동 화곡제6동 화곡제8동 우장산동 발산제1동"
강서을,김성태,새누리당,"염창동 등촌제1동 등촌제3동 가양제1동 가양제2동 가양제3동 공항동 방화제1동 방화제2동 방화제3동"
구로갑,이범래,새누리당,"고척제1동 고척제2동 개봉제1동 개봉제2동 개봉제3동 오류제1동 오류제2동 수궁동"
구로을,박영선,"민주통합당 민주통합당","신도림동 구로제1동 구로제2동 구로제3동 구로제4동 구로제5동 가리봉동"
금천,안형환,새누리당,"가산동 독산1동 독산2동 독산3동 독산4동 시흥1동 시흥2동 시흥3동 시흥4동 시흥5동"
영등포갑,전여옥,새누리당,"영등포본동 영등포동 당산제1동 당산제2동 도림동 문래동 양평제1동 양평제2동 신길제3동"
영등포을,권영세,새누리당,"여의동 신길제1동 신길제4동 신길제5동 신길제6동 신길제7동 대림제1동 대림제2동 대림제3동"
동작갑,전병헌,"민주통합당 민주통합당","노량진제1동 노량진제2동 상도제2동 상도제3동 상도제4동 대방동 신대방제1동 신대방제2동"
동작을,정몽준,새누리당,"상도제1동 흑석동 사당제1동 사당제2동 사당제3동 사당제4동 사당제5동"
관악갑,김성식,"새누리당 무소속","보라매동 은천동 성현동 중앙동 청림동 행운동 청룡동 낙성대동 인헌동 남현동 신림동"
관악을,김희철,"민주통합당 민주통합당","신사동 조원동 미성동 난곡동 난향동 서원동 신원동 서림동 삼성동 대학동"
서초갑,이혜훈,새누리당,"잠원동 반포본동 반포1동 반포2동 반포3동 반포4동 방배본동 방배1동 방배4동"
서초을,고승덕,새누리당,"서초1동 서초2동 서초3동 서초4동 방배2동 방배3동 양재1동 양재2동 내곡동"
