종로구,박진,한나라당,"청운효자동 사직동 삼청동 부암동 평창동 무악동 교남동 가회동 종로1동 종로2동 종로3동 종로4동 종로5동 종로6동 이화동 혜화동 명륜3가동 창신1동 창신2동 창신3동 숭인1동 숭인2동"
중구,나경원,한나라당,"소공동 회현동 명동 필동 장충동 광희동 을지로동 신당1동 신당2동 신당3동 신당4동 신당5동 신당6동 확학동 중림동"
용산구,진영,한나라당,"후암동 남영동 용산2가동 한강로동 서빙고동 청파동 원효로1동 원효로2동 효창동 용문동 이촌1동 이촌2동 이태원1동 이태원2동 한남동 보광동"
성동구 갑,진수희,한나라당,"응봉동 금호1가동 금호2가동 금호3가동 금호4가동 옥수제1동 옥수제2동 성수1가제1동 성수1가제2동 성수2가제1동 성수2가제3동"
성동구 을,김동성,한나라당,"왕십리제1동 왕십리제2동 도선동 마장동 사근동 행당제1동 행당제2동 송정동 용답동"
광진구 갑,권택기,한나라당,"중곡제1동 중곡제2동 중곡제3동 중곡제4동 능동 구의제2동 광장동 군자동"
광진구 을,추미애,"민주당 민주통합당","구의제1동 구의제3동 자양제1동 자양제2동 자양제3동 자양제4동 화양동"
동대문구 갑,장광근,한나라당,"신설동 용두제1동 용두제2동 제기제1동 제기제2동 청량리제1동 청량리제2동 회기동 휘경제1동 휘경제2동 이문제1동 이문제2동 이문제3동"
동대문구 을,홍준표,한나라당,"전농제1동 전농제2동 전농제3동 전농제4동 답십리제1동 답십리제2동 답십리제3동 답십리제4동 답십리제5동 장안제1동 장안제2동 장안제3동 장안제4동"
중랑구 갑,유정현,한나라당,"면목본동 면목제2동 면목제3․8동 면목제4동 면목제5동 면목제7동  상봉제2동 망우제3동"
중랑구 을,진성호,한나라당,"상봉제1동 중화제1동 중화제2동 묵제1동 묵제2동 망우본동 신내제1동 신내제2동"
성북구 갑,정태근,"한나라당 무소속","성북동 삼선동 동선동 돈암제2동 안암동 보문동 정릉제1동 정릉제2동 정릉제3동 정릉제4동 길음제1동"
성북구 을,김효재,한나라당,"돈암제1동 길음제2동 종암동 월곡제1동 월곡제2동 장위제1동 장위제2동 장위제3동 석관동"
강북구 갑,정양석,한나라당,"번제1동 번제2동 수유제1동 수유제2동 수유제3동 수유제4동 수유제5동 수유제6동"
강북구 을,최규식,"민주당 민주통합당","미아제1동 미아제2동 미아제3동 미아제4동 미아제5동 미아제6․7동 미아제8동 미아제9동 번제3동"
도봉구 갑,신지호,한나라당,"쌍문제1동 쌍문제3동 창제1동 창제2동 창제3동 창제4동 창제5동"
도봉구 을,김선동,한나라당,"쌍문제2동 쌍문제4동 방학제1동 방학제2동 방학제3동 방학제4동 도봉제1동 도봉제2동"
노원구 갑,현경병,한나라당,"월계1동 월계2동 월계3동 월계4동 공릉1․3동 공릉2동"
노원구 을,권영진,한나라당,"하계1동 하계2동 중계본동 중계1동 중계2동 중계3동 중계4동 상계6․7동"
노원구 병,홍정욱,한나라당,"상계1동 상계2동 상계3․4동 상계5동 상계8동 상계9동 상계10동"
은평구 갑,이미경,"민주당 민주통합당","녹번동 응암제1동 응암제2동 응암제3동 응암제4동 신사제1동 신사제2동 증산동 수색동"
은평구 을,"문국현 이재오","창조한국당 한나라당","불광제1동 불광제2동 불광제3동 갈현제1동 갈현제2동 구산동 대조동 역촌제1동 역촌제2동 진관동"
서대문구 갑,이성현,한나라당,"충정로동 천연동 북아현제1동 북아현제2동 북아현제3동 대신동 창천동 연희제1동 연희제2동 연희제3동 홍제제1동 홍제제2동 홍제제4동"
서대문구 을,정두언,한나라당,"홍제제3동 홍은제1동 홍은제2동 홍은제3동 남가좌제1동 남가좌제2동 북가좌제1동 북가좌제2동"
마포구 갑,강승규,한나라당,"공덕동 아현동 도화동 용강동 대흥동 염리동 신수동"
마포구 을,강용석,"한나라당 무소속","서강동 서교동 합정동 망원1동 망원2동 연남동 성산1동 성산2동 상암동"
양천구 갑,원희룡,한나라당,"목제1동 목제2동 목제3동 목제4동 목제5동 목제6동 신정제1동 신정제2동 신정제6동 신정제7동"
양천구 을,김용태,한나라당,"신월제1동 신월제2동 신월제3동 신월제4동 신월제5동 신월제6동 신월제7동 신정제3동 신정제4동 신정제5동"
강서구 갑,구상찬,한나라당,"등촌제2동 화곡본동 화곡제1동 화곡제2동 화곡제3동 화곡제4동 화곡제5동 화곡제6동 화곡제7동 화곡제8동 발산제1동 발산제2동"
강서구 을,김성태,한나라당,"염창동 등촌제1동 등촌제3동 가양제1동 가양제2동 가양제3동 공항동 방화제1동 방화제2동 방화제3동"
구로구 갑,이범래,한나라당,"고척제1동 고척제2동 개봉제1동 개봉제2동 개봉제3동 개봉본동 오류제1동 오류제2동 수궁동"
구로구 을,박영선,"민주당 민주통합당","신도림동 구로제1동 구로제2동 구로제3동 구로제4동 구로제5동 구로제6동 구로본동 가리봉제1동 가리봉제2동"
금천구,안형환,한나라당,"가산동 독산1동 독산2동 독산3동 독산4동 시흥1동 시흥2동 시흥3동 시흥4동 시흥5동"
영등포구 갑,전여옥,한나라당,"영등포제1동 영등포제2동 영등포제3동 당산제1동 당산제2동 도림제1동 도림제2동 문래제1동 문래제2동 양평제1동 양평제2동 신길제2동 신길제3동"
영등포구 을,권영세,한나라당,"여의동 신길제1동 신길제4동 신길제5동 신길제6동 신길제7동 대림제1동 대림제2동 대림제3동"
동작구 갑,전병헌,"민주당 민주통합당","노량진제1동 노량진제2동 상도제2동 상도제3동 상도제4동 본동 대방동 신대방제1동 신대방제2동"
동작구 을,정몽준,한나라당,"상도제1동 흑석동 동작동 사당제1동 사당제2동 사당제3동 사당제4동 사당제5동"
관악구 갑,김성식,"한나라당 무소속","봉천본동 봉천제1동 봉천제2동 봉천제3동 봉천제4동 봉천제5동 봉천제6동 봉천제7동 봉천제8동 봉천제9동 봉천제10동 봉천제11동 남현동 신림제5동"
관악구 을,김희철,"민주당 민주통합당","신림본동 신림제1동 신림제2동 신림제3동 신림제4동 신림제6동 신림제7동 신림제8동 신림제9동 신림제10동 신림제11동 신림제12동 신림제13동"
서초구 갑,이혜훈,한나라당,"잠원동 반포본동 반포1동 반포2동 반포3동 반포4동 방배본동 방배1동 방배4동"
서초구 을,고승덕,한나라당,"서초1동 서초2동 서초3동 서초4동 방배2동 방배3동 양재1동 양재2동 내곡동"
강남구 갑,이종구,한나라당,"신사동 논현제1동 논현제2동 압구정제1동 압구정제2동 청담제1동 청담제2동 삼성제1동 삼성제2동 역삼제1동 역삼제2동 도곡제1동 도곡제2동"
강남구 을,공성진,한나라당,"대치제1동 대치제2동 대치제3동 대치제4동 개포제1동 개포제2동 개포제3동 개포제4동 일원본동 일원제1동 일원제2동 수서동 세곡동"
송파구 갑,박영아,한나라당,"풍납제1동 풍납제2동 방이제1동 방이제2동 오륜동 송파제1동 송파제2동 잠실제4동 잠실제6동"
송파구 을,유일호,한나라당,"석촌동 삼전동 가락제1동 문정제2동 잠실본동 잠실제1동 잠실제2동 잠실제3동 잠실제5동 잠실제7동"
송파구 병,김성순,"민주당 민주통합당","거여제1동 거여제2동 마천제1동 마천제2동 오금동 가락본동 가락제2동 문정제1동 장지동"
강동구 갑,김충환,한나라당,"강일동 상일동 명일제1동 명일제2동 고덕제1동 고덕제2동 암사제1동 암사제2동 암사제3동 암사제4동 길제1동 길제2동"
강동구 을,윤석용,한나라당,"천호제1동 천호제2동 천호제3동 천호제4동 성내제1동 성내제2동 성내제3동 둔촌제1동 둔촌제2동"
