동작갑,배동식,N,가자!대국민중심당
강남갑,김영기,N,국가재건친박연합
중구,장준영,미정,국민생각
강북을,홍성남,Y,국민생각
도봉을,김정규,N,국민행복당
종로,김준수,Y,국민행복당
은평을,박의정,미정,국민행복당
종로,정재복,Y,국민행복당
종로,홍성훈,Y,국민행복당
송파갑,이정현,미정,미래연합
은평을,고연호,Y,민주통합
동대문갑,권재철,Y,민주통합
강남갑,김성옥,미정,민주통합
서대문을,김영호,Y,민주통합
양천을,김한정,Y,민주통합
강서을,김효석,미정,민주통합
강남갑,마재광,미정,민주통합
은평을,민병오,Y,민주통합
동대문갑,서양호,Y,민주통합
은평을,송미화,Y,민주통합
서대문을,이근호,Y,민주통합
노원병,이동섭,미정,민주통합
양천을,이용선,Y,민주통합
도봉갑,인재근,미정,민주통합
서초을,전경일,미정,민주통합
서초을,조성두,미정,민주통합
은평을,최승국,Y,민주통합
은평을,최창환,Y,민주통합
노원병,황창화,미정,민주통합
중랑을,강동호,Y,새누리당
서초을,고승덕,미정,새누리당
강남을,권문용,미정,새누리당
송파병,김을동,미정,새누리당
강남을,맹정주,미정,새누리당
서초을,박성중,미정,새누리당
강남을,서정숙,미정,새누리당
강남갑,성빈,미정,새누리당
강동갑,신동우,Y,새누리당
도봉갑,신지호,미정,새누리당
서초을,양지청,미정,새누리당
성북갑,유중하,미정,새누리당
서초을,유철환,미정,새누리당
도봉갑,윤민상,미정,새누리당
중랑을,윤상일,Y,새누리당
송파병,이계경,미정,새누리당
도봉갑,이재범,미정,새누리당
강남갑,이종구,미정,새누리당
강남갑,이지호,미정,새누리당
서초을,이충범,미정,새누리당
서초갑,이혜훈,미정,새누리당
강동갑,임동규,Y,새누리당
서초을,임중연,미정,새누리당
강남을,정동기,미정,새누리당
강남갑,채정석,미정,새누리당
강북갑,홍범식,미정,새누리당
서초을,황인경,미정,새누리
