,공천자 명단 가나다순
추가,선 거 구,성명,경선실시,,트위터,페이스북
,강남갑,박두선,N,통합진보,https://twitter.com/jinbosunny,http://www.facebook.com/jinbosunny
,강남갑,박상일,N,새누리,없음,없음
,강남을,신언직,N,통합진보,https://twitter.com/shinejkim,http://www.facebook.com/gnlift
,강남을,이영조,N,새누리,https://twitter.com/eyoungjo,http://www.facebook.com/egyosu
,강남을,정동영,N,민주통합,https://twitter.com/coreacdy,http://www.facebook.com/coreacdy
,강동갑,박치웅,N,통합진보,https://twitter.com/copark8057,https://twitter.com/copark8057
,강동갑,신동우,Y,새누리,https://twitter.com/eastrain53,http://www.facebook.com/eastrain53
,강동갑,이부영,N,민주통합,https://twitter.com/coreacdy,http://www.facebook.com/buyounglee21
,강동갑,임동규,Y,새누리,http://twitter.com/ldk2345,없음
1,강동갑,배온희,,무소속,없음,없음
,강동을,심재권,,민주통합,https://twitter.com/sjk0815,http://www.facebook.com/sjk815
,강동을,이주현,N,통합진보,https://twitter.com/leejuhyon,http://www.facebook.com/juhyon2012
,강동을,정옥임,N,새누리,http://twitter.com/o_chung,http://www.facebook.com/oknimchung1
,강북갑,오영식,N,민주통합,https://twitter.com/okys04,http://www.facebook.com/ohys2012
,강북갑,정양석,N,새누리,http://twitter.com/okcys,없음
,강북을,안홍렬,Y,새누리,없음,없음
,강북을,유대운,N,민주통합,https://twitter.com/yy7715,http://www.facebook.com/you7715
,강북을,이수희,Y,새누리,https://twitter.com/Lsoohee,없음
,강북을,천승훈,N,통합진보,https://twitter.com/for99nara,https://twitter.com/for99nara
1,강북을,홍성남,,무소속,http://twitter.com/sung1535,없음
,강서갑,구상찬,N,새누리,http://twitter.com/gusangchan,http://www.facebook.com/youngjean.or.kr
,강서갑,신기남,N,민주통합,https://twitter.com/skn21c,없음
1,강서갑,백철,,무소속,없음,없음
1,강서갑,송중훈,,무소속,없음,없음
1,강서갑,백승대,,무소속,없음,없음
,강서을,김성태,N,새누리,https://twitter.com/kimsungtae,http://www.facebook.com/winkst
1,강서을,윤태양,,무소속,없음,없음
,관악갑,김금숙,N,통합진보,https://twitter.com/momdream,http://www.facebook.com/momdream
,관악갑,유기홍,N,민주통합,https://twitter.com/yookihong,http://www.facebook.com/58kihong
1,관악갑,김성식,,무소속,https://twitter.com/okkimss,http://www.facebook.com/okkimss
,관악을,김강산,Y,새누리,https://twitter.com/kks0803,http://www.facebook.com/kks0803
,관악을,김희철,N,민주통합,https://twitter.com/kimheec,http://www.facebook.com/kimheec
,관악을,오신환,Y,새누리,https://twitter.com/arang301,http://www.facebook.com/arang301
,관악을,이정희,N,통합진보,http://twitter.com/heenews,http://www.facebook.com/heenews
,관악을,현진호,Y,새누리,https://twitter.com/jin_ho_hyun,http://www.facebook.com/profile.php?id=1198462172
,광진갑,전혜숙,N,민주통합,http://twitter.com/winner1219,http://www.facebook.com/winner1219
,광진갑,정송학,N,새누리,http://twitter.com/jeongsonghag,http://www.facebook.com/ceogj
,광진을,권중목,N,통합진보,https://twitter.com/4tong8dal,없음
,광진을,정준길,N,새누리,http://twitter.com/jjk2017,http://www.facebook.com/jjk2005
,광진을,추미애,N,민주통합,http://twitter.com/choomiae,없음
1,광진을,김홍준,N,자유선진당,없음,없음
,구로갑,이범래,N,새누리,https://twitter.com/leebumrae,http://www.facebook.com/bumrae3
,구로갑,이인영,N,민주통합,http://twitter.com/lee_inyoung,http://www.facebook.com/bigbang1003
,구로을,박영선,N,민주통합,https://twitter.com/Park_Youngsun,http://www.facebook.com/Parkyoungsun21
,금천구,이목희,N,민주통합,https://twitter.com/2mokhee,없음
1,금천구,김정훈,N,새누리,없음,없음
1,금천구,임부재,N,자유선진당,없음,없음
1,금천구,강성현,,무소속,없음,없음
1,김순범,김순범,,무소속,없음,없음
,노원갑,이노근,N,새누리,https://twitter.com/nokeunlee,http://www.facebook.com/lng5238
,노원갑,홍용표,N,통합진보,http://twitter.com/yain21,없음
1,노원갑,김철수,N,자유선진당,https://twitter.com/kcs3635,http://www.facebook.com/kcs3635
1,노원갑,우승배,,무소속,없음,없음
,노원병,조규선,N,통합진보,https://twitter.com/kscho2012,없음
1,노원병,허준영,N,새누리,https://twitter.com/HUH_Joonyoung,http://www.facebook.com/IamHuh
1,노원병,주준희,,국민생각,http://twitter.com/junhuijoo,없음
,노원을,권영진 ,N,새누리,https://twitter.com/YoungjinKWON ,http://www.facebook.com/youngjean.or.kr
,노원을,노회찬,N,통합진보,https://twitter.com/hcroh,http://www.facebook.com/omyChans
,노원을,우원식,N,민주통합,https://twitter.com/wonsikw,http://www.facebook.com/wonsikw
,노원을,조규선,N,통합진보,https://twitter.com/dogbo1do,없음
1,노원을,전영돈,,무소속,없음,없음
1,노원을,임종섭,,무소속,없음,없음
1,노원을,이선엽,,무소속,https://twitter.com/strong2012,없음
,도봉갑,이백만,N,통합진보,https://twitter.com/dobong1,http://www.facebook.com/millionlee
